cc,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12496,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No
24107,Married,Male,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No
14177,Married,Male,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,No
13507,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,No
22155,,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No
12697,Single,Female,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,No
11434,Married,Male,170000,5,Partial College,Professional,Yes,,0-1 Miles,Europe,55,No
12610,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
21564,Single,Female,80000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,No
26412,Married,Female,80000,5,High School,Management,No,3,5-10 Miles,Europe,56,No
27184,Single,Male,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No
12590,Single,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,No
18283,,Female,100000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,No
18299,Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,No
19273,Married,Female,20000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,No
20942,Single,Female,20000,0,High School,Manual,No,1,5-10 Miles,Europe,31,No
28380,Single,Female,10000,5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,No
27832,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
26863,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,28,No
27803,Single,Female,30000,2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,No
17703,Married,Female,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,No
